MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1439.3399658	1439.3399658	1415.3399658	1913.72998	9971.80957
1439.4200439	1439.4200439	1415.4200439	1913.76001	5331.3017578
1439.4399414	1439.4399414	1415.4399414	1913.77002	4021.97583
1439.49	1439.49	1415.49	1913.790039	4998.0952148
1439.52002	1439.52002	1415.52002	1913.8	5997.7143555
1439.5699463	1439.5699463	1415.5699463	1913.8199463	5015.7602539
1439.6500244	1439.6500244	1415.6500244	1913.8399658	7996.9521484
1439.75	1439.75	1415.75	1913.88	4992
1439.8	1439.8	1415.8	1913.9	4998.0952148
1439.8499756	1439.8499756	1415.8499756	1913.9100342	9971.80957
1439.9	1439.9	1415.9	1913.9300537	4998.0952148
1439.9300537	1439.9300537	1415.9300537	1913.9399414	6069.9760742
1439.9499512	1439.9499512	1415.9499512	1913.9499512	3974.0952148
1439.97998	1439.97998	1415.97998	1913.959961	5997.7143555
1440	1440	1416	1913.969971	3998.4760742
1440.0500488	1440.0500488	1416.0500488	1913.99	4998.0952148
1440.0799561	1440.0799561	1416.0799561	1914	5973.3334961
1440.13	1440.13	1416.13	1914.02002	4998.0952148
1440.1500244	1440.1500244	1416.1500244	1914.030029	3998.4760742
1440.1800537	1440.1800537	1416.1800537	1914.040039	5997.7143555
1440.209961	1440.209961	1416.209961	1914.0500488	5973.3334961
1440.22998	1440.22998	1416.22998	1914.0600586	3998.4760742
1440.26001	1440.26001	1416.26001	1914.0699463	6144
1440.280029	1440.280029	1416.280029	1914.0799561	3998.4760742
1440.3299561	1440.3299561	1416.3299561	1914.1	4985.9047852
1440.3599854	1440.3599854	1416.3599854	1914.1099854	5997.7143555
1440.4100342	1440.4100342	1416.4100342	1914.1400146	3332.0634766
1440.459961	1440.459961	1416.459961	1914.1600342	4985.9047852
1440.47998	1440.47998	1416.47998	1914.1700439	3998.4760742
1440.51001	1440.51001	1416.51001	1914.1800537	5997.7143555
1440.540039	1440.540039	1416.540039	1914.2	3016.8144531
1440.5600586	1440.5600586	1416.5600586	1914.209961	3998.4760742
1440.6400146	1440.6400146	1416.6400146	1914.25	3992.380859
1440.6899414	1440.6899414	1416.6899414	1914.27002	4985.9047852
1440.74	1440.74	1416.74	1914.3	3332.0634766
1440.76001	1440.76001	1416.76001	1914.3100586	3998.4760742
1440.8100586	1440.8100586	1416.8100586	1914.3399658	3345.338623
1440.8399658	1440.8399658	1416.8399658	1914.3499756	5973.3334961
1440.9399414	1440.9399414	1416.9399414	1914.4	4003.1313477
1440.969971	1440.969971	1416.969971	1914.4100342	5997.7143555
1440.99	1440.99	1416.99	1914.4300537	1999.2380371
1441.02002	1441.02002	1417.02002	1914.4399414	6069.9760742
1441.040039	1441.040039	1417.040039	1914.459961	1999.2380371
1441.0699463	1441.0699463	1417.0699463	1914.469971	5973.3334961
1441.0899658	1441.0899658	1417.0899658	1914.49	1999.2380371
1441.12	1441.12	1417.12	1914.5	5997.7143555
1441.1500244	1441.1500244	1417.1500244	1914.52002	2998.8571777
1441.1700439	1441.1700439	1417.1700439	1914.530029	3998.4760742
1441.2	1441.2	1417.2	1914.5500488	2986.666748
1441.219971	1441.219971	1417.219971	1914.5600586	3998.4760742
1441.27002	1441.27002	1417.27002	1914.5899658	3345.338623
1441.3199463	1441.3199463	1417.3199463	1914.6099854	4985.9047852
1441.37	1441.37	1417.37	1914.6400146	3332.0634766
1441.4	1441.4	1417.4	1914.6500244	5997.7143555
1441.4200439	1441.4200439	1417.4200439	1914.6600342	4046.6506348
1441.4499512	1441.4499512	1417.4499512	1914.6700439	5973.3334961
1441.47998	1441.47998	1417.47998	1914.6800537	5997.7143555
1441.5	1441.5	1417.5	1914.6899414	4046.6506348
1441.530029	1441.530029	1417.530029	1914.7	5997.7143555
1441.5799561	1441.5799561	1417.5799561	1914.719971	4985.9047852
1441.6	1441.6	1417.6	1914.72998	3998.4760742
1441.63	1441.63	1417.63	1914.74	5997.7143555
1441.6800537	1441.6800537	1417.6800537	1914.76001	4998.0952148
1441.7	1441.7	1417.7	1914.77002	3974.0952148
1441.72998	1441.72998	1417.72998	1914.780029	5997.7143555
1441.75	1441.75	1417.75	1914.790039	3998.4760742
1441.780029	1441.780029	1417.780029	1914.8	5997.7143555
1441.8100586	1441.8100586	1417.8100586	1914.8199463	3016.8144531
1441.8299561	1441.8299561	1417.8299561	1914.8299561	3974.0952148
1441.8599854	1441.8599854	1417.8599854	1914.8399658	5997.7143555
1441.88	1441.88	1417.88	1914.8499756	3998.4760742
1441.9100342	1441.9100342	1417.9100342	1914.87	2998.8571777
1441.9300537	1441.9300537	1417.9300537	1914.88	3998.4760742
1441.959961	1441.959961	1417.959961	1914.8900146	5973.3334961
1441.97998	1441.97998	1417.97998	1914.9	3998.4760742
