MD (m)	TVD (m)	TVDSS (m)	TWT ( ms )	Vint (m/s)
1544.3100586	1544.3100586	1519.3100586	2010.0698242	1097.0584717
1545	1545	1520	2011.329834	1095.1083984
1548.63	1548.63	1523.63	2014.38	2380.2617188
1549.3199463	1549.3199463	1524.3199463	2015.6400146	1095.1083984
1550	1550	1525	2016.8900146	1088.0610352
1553.63	1553.63	1528.63	2019.9499512	2372.6577148
1554.3100586	1554.3100586	1529.3100586	2021.2	1088.0610352
1555	1555	1530	2022.459961	1095.1083984
1558.62	1558.62	1533.62	2025.5101318	2373.697998
1559.3100586	1559.3100586	1534.3100586	2026.7701416	1095.302124
1563.3199463	1563.3199463	1538.3199463	2030.77002	2004.9696045
1563.63	1563.63	1538.63	2031.0799561	2000.7384033
1565	1565	1540	2032.969971	1449.7731934
1567.1899414	1567.1899414	1542.1899414	2034.77002	2433.1867676
1567.9399414	1567.9399414	1542.9399414	2035.3898926	2419.7907715
1569.3100586	1569.3100586	1544.3100586	2037.280029	1449.7194824
1570	1570	1545	2038.5301514	1103.8809814
1573.63	1573.63	1548.63	2041.5799561	2380.4477539
1574.3199463	1574.3199463	1549.3199463	2042.8399658	1095.1083984
1575	1575	1550	2044.0900879	1088.0610352
1578.63	1578.63	1553.63	2047.1501465	2372.4726563
1579.3100586	1579.3100586	1554.3100586	2048.4	1088.2685547
1580	1580	1555	2049.6599121	1095.1083984
1583.63	1583.63	1558.63	2052.709961	2380.2617188
1584.3199463	1584.3199463	1559.3199463	2053.969971	1095.3156738
1585	1585	1560	2055.219971	1088.0610352
1588.63	1588.63	1563.63	2058.280029	2372.4726563
1589.3100586	1589.3100586	1564.3100586	2059.530029	1088.0610352
1590	1590	1565	2060.790039	1095.1083984
1593.63	1593.63	1568.63	2063.8400879	2380.2617188
1594.3199463	1594.3199463	1569.3199463	2065.1	1095.1083984
1595	1595	1570	2066.3400879	1097.0584717
1598.63	1598.63	1573.63	2069.4	2372.6577148
1599.3100586	1599.3100586	1574.3100586	2070.6499023	1088.0610352
1600	1600	1575	2071.9099121	1095.1083984
1603.63	1603.63	1578.63	2074.959961	2380.2617188
1604.3199463	1604.3199463	1579.3199463	2076.219971	1095.1083984
1605	1605	1580	2077.469971	1088.0610352
1608.63	1608.63	1583.63	2080.530029	2372.6577148
1609.3100586	1609.3100586	1584.3100586	2081.780029	1088.0610352
1610	1610	1585	2083.040039	1095.1083984
1613.63	1613.63	1588.63	2086.0900879	2380.2617188
1614.3199463	1614.3199463	1589.3199463	2087.3500977	1095.1083984
1615	1615	1590	2088.6	1088.0610352
1618.63	1618.63	1593.63	2091.6599121	2372.6577148
1619.3100586	1619.3100586	1594.3100586	2092.9099121	1088.2685547
1620	1620	1595	2094.1599121	1103.8809814
1623.63	1623.63	1598.63	2097.209961	2380.2617188
1624.3199463	1624.3199463	1599.3199463	2098.469971	1095.1083984
1625	1625	1600	2099.719971	1088.0610352
1628.63	1628.63	1603.63	2102.780029	2372.46582
1629.3100586	1629.3098145	1604.3098145	2104.030029	1087.6815186
1630	1630	1605	2105.290039	1094.9337158
1633.63	1633.6282959	1608.6282959	2108.3400879	2379.431641
1634.3199463	1634.3179932	1609.3179932	2109.6	1094.72644
1635	1634.9978027	1609.9978027	2110.8500977	1087.6815186
1638.63	1638.6264648	1613.6264648	2113.9099121	2371.8300781
1639.3100586	1639.3062744	1614.3062744	2115.1599121	1087.6815186
1640	1639.9959717	1614.9959717	2116.4199219	1094.72644
1643.62	1643.6147461	1618.6147461	2119.469971	2373.0556641
1645	1644.9942627	1619.9942627	2121.97998	1099.190918
1648.63	1648.6230469	1623.6230469	2125.030029	2379.431641
1649.3199463	1649.3127441	1624.3127441	2126.290039	1094.72644
1650	1649.9925537	1624.9925537	2127.540039	1087.6815186
1653.6400146	1653.6312256	1628.6312256	2130.6	2378.1850586
1654.3199463	1654.3110352	1629.3110352	2131.8500977	1087.6937256
1655.01001	1655	1630	2133.1101074	1094.920166
1658.6400146	1658.63	1633.63	2136.1599121	2379.9240723
1659.3299561	1659.3199463	1634.3199463	2137.4199219	1095.1083984
1660.01001	1660	1635	2138.6699219	1088.0610352
1663.6400146	1663.63	1638.63	2141.72998	2372.4726563
1664.3199463	1664.3099365	1639.3099365	2142.97998	1087.8657227
1665.01001	1665	1640	2144.24	1095.5095215
1668.6400146	1668.63	1643.63	2147.290039	2380.2617188
1669.3299561	1669.3199463	1644.3199463	2148.5500488	1095.1083984
1670.01001	1670	1645	2149.790039	1096.8475342
1673.6400146	1673.63	1648.63	2152.8500977	2372.4726563
1674.3199463	1674.3099365	1649.3099365	2154.1	1087.8657227
1675.01001	1675	1650	2155.3601074	1095.302124
1678.6400146	1678.63	1653.63	2158.4099121	2380.633789
1679.3299561	1679.3199463	1654.3199463	2159.6699219	1095.1083984
1680.01001	1680	1655	2160.9199219	1088.0610352
1683.6400146	1683.63	1658.63	2163.97998	2372.4726563
1684.3199463	1684.3099365	1659.3099365	2165.22998	1087.8657227
1685.01001	1685	1660	2166.49	1095.302124
1688.6400146	1688.63	1663.63	2169.540039	2380.4477539
1689.3299561	1689.3199463	1664.3199463	2170.8	1095.1083984
1690.01001	1690	1665	2172.0500488	1088.0610352
1693.6400146	1693.63	1668.63	2175.1101074	2372.4726563
1694.3199463	1694.3099365	1669.3099365	2176.3601074	1087.8657227
1695.01001	1695	1670	2177.6101074	1104.0762939
1698.6400146	1698.63	1673.63	2180.6599121	2380.4477539
1699.3299561	1699.3199463	1674.3199463	2181.9199219	1095.3156738
1700.01001	1700	1675	2183.1699219	1088.0610352
1703.6400146	1703.63	1678.63	2186.22998	2372.4726563
1704.3199463	1704.3099365	1679.3099365	2187.47998	1087.8657227
1705.01001	1705	1680	2188.74	1095.302124
1708.63	1708.62	1683.62	2191.790039	2373.697998
1709.3199463	1709.3099365	1684.3099365	2193.0500488	1095.1083984
1710.01001	1710	1685	2194.3100586	1095.5095215
1713.6400146	1713.63	1688.63	2197.3601074	2380.2617188
1714.3299561	1714.3199463	1689.3199463	2198.6201172	1095.1083984
1715.01001	1715	1690	2199.8701172	1088.0610352
1718.6400146	1718.63	1693.63	2202.9299316	2372.6577148
1719.3199463	1719.3099365	1694.3099365	2204.1799316	1087.8657227
1720.01001	1720	1695	2205.4299316	1104.0762939
1723.6400146	1723.63	1698.63	2208.47998	2380.4477539
1724.3299561	1724.3199463	1699.3199463	2209.74	1095.1083984
1725.01001	1725	1700	2210.99	1088.0610352
1728.6400146	1728.63	1703.63	2214.0500488	2372.4726563
1729.3199463	1729.3099365	1704.3099365	2215.3	1087.8657227
1730.01001	1730	1705	2216.5600586	1095.302124
1733.6400146	1733.63	1708.63	2219.6101074	2380.2617188
1734.3299561	1734.3199463	1709.3199463	2220.8701172	1095.3156738
1735.01001	1735	1710	2222.1201172	1088.0610352
1738.6500244	1738.6400146	1713.6400146	2225.1799316	2379.2001953
1739.3199463	1739.3099365	1714.3099365	2226.4299316	1071.8504639
1743.3299561	1743.3199463	1718.3199463	2230.4299316	2005.03064
1743.6400146	1743.63	1718.63	2230.74	1999.2005615
1745.01001	1745	1720	2232.6298828	1449.9560547
1747.2	1747.1899414	1722.1899414	2234.4299316	2433.1867676
1747.9499512	1747.9399414	1722.9399414	2235.0500488	2418.8603516
1749.3199463	1749.3099365	1724.3099365	2236.9299316	1457.4954834
1750.01001	1750	1725	2238.1899414	1095.302124
1753.6400146	1753.63	1728.63	2241.24	2380.2617188
1754.3299561	1754.3199463	1729.3199463	2242.5	1095.1083984
1755.01001	1755	1730	2243.75	1088.0610352
1758.6400146	1758.63	1733.63	2246.8100586	2372.6577148
1759.3199463	1759.3099365	1734.3099365	2248.0600586	1087.8657227
1760.01001	1760	1735	2249.3200684	1095.302124
1763.6400146	1763.63	1738.63	2252.3701172	2380.2617188
