DEPTH,CAL,DTCO,DTSM,LITHO,PHIE,PHIT,RHOB,SW,VCLAY,WELL,VP,IP,IS,VS
2776.366,12.282,112.5572,,49.0,0.2255604149605915,0.3001452196850949,2.227139,0.7768915881891079,0.2554566787404791,1-BRSA-192-ESS,2707.956487901263,6030.995504507931,,
2776.466,12.27258,112.3778,,49.0,0.2483998850393976,0.2833192370078544,2.211456,0.7055992456692158,0.1196008015746421,1-BRSA-192-ESS,2712.279471568228,5998.0867110763875,,
2776.566,12.2912,111.0923,,49.0,0.267873220472372,0.274097005511839,2.203904,0.6499951842521529,0.0213169379530877,1-BRSA-192-ESS,2743.6645024002564,6046.7731714979345,,
2776.666,12.30926,108.9836,,49.0,0.2487781354330524,0.2783242078740202,2.202904,0.6866935236220887,0.1011968196851177,1-BRSA-192-ESS,2796.7510708033137,6160.974120876904,,
2776.766,12.33103,107.5717,,49.0,0.2320432897637793,0.2779993244094469,2.215241,0.7025216409448732,0.157401609448813,1-BRSA-192-ESS,2833.458985960062,6276.794517517153,,
2776.866,12.30926,107.4394,,49.0,0.2185064299212663,0.2666482976377993,2.231139,0.7203425692913238,0.1648884275590468,1-BRSA-192-ESS,2836.9480842223616,6329.6255116837965,,
2776.966,12.25766,108.6008,,49.0,0.1539420905506837,0.25122409291331,2.264197,0.9081621417344208,0.3331956645683732,1-BRSA-192-ESS,2806.6091594168734,6354.716038924206,,
2777.066,12.24729,106.5012,,58.0,0.0593022134646381,0.2134961346457557,2.370898,1.0,0.5281218787402093,1-BRSA-192-ESS,2861.9395837793377,6785.366835303264,,
2777.166,12.31989,97.40192,,58.0,0.0047210146771002,0.1496651834644044,2.584594,1.0,0.5028450228345859,1-BRSA-192-ESS,3129.3017632506626,8087.9745614870835,,
2777.266,12.3924,73.54559,,58.0,0.0,0.0985153251967572,2.723957,1.0,0.5158771574802887,1-BRSA-192-ESS,4144.368139544465,11289.080604289122,,
2777.366,12.31628,54.13497,102.483,58.0,0.0,0.0644114103936775,2.72464,1.0,0.5339931716537818,1-BRSA-192-ESS,5630.37164332039,15340.735794256467,8103.492989081115,2974.151810544188
2777.466,12.28869,54.77317,101.9107,58.0,0.0,0.0543406497637516,2.704308,1.0,0.627944561417498,1-BRSA-192-ESS,5564.768298055416,15048.847426577648,8088.189742588364,2990.8537572600326
